country,year,population,Dem index,gdp
AFG,1960,8996967,,537777811.1
AFG,1961,9169406,,548888895.6
AFG,1962,9351442,,546666677.8
AFG,1963,9543200,,751111191.1
AFG,1964,9744772,,800000044.4
AFG,1965,9956318,,1006666638
AFG,1966,10174840,,1399999967
AFG,1967,10399936,,1673333418
AFG,1968,10637064,,1373333367
AFG,1969,10893772,,1408888922
AFG,1970,11173654,,1748886596
AFG,1971,11475450,,1831108971
AFG,1972,11791222,,1595555476
AFG,1973,12108963,,1733333264
AFG,1974,12412960,,2155555498
AFG,1975,12689164,,2366666616
AFG,1976,12943093,,2555555567
AFG,1977,13171294,,2953333418
AFG,1978,13341199,,3300000109
AFG,1979,13411060,,3697940410
AFG,1980,13356500,,3641723322
AFG,1981,13171679,,3478787909
AFG,1982,12882518,,
AFG,1983,12537732,,
AFG,1984,12204306,,
AFG,1985,11938204,,
AFG,1986,11736177,,
AFG,1987,11604538,,
AFG,1988,11618008,,
AFG,1989,11868873,,
AFG,1990,12412311,,
AFG,1991,13299016,,
AFG,1992,14485543,,
AFG,1993,15816601,,
AFG,1994,17075728,,
AFG,1995,18110662,,
AFG,1996,18853444,,
AFG,1997,19357126,,
AFG,1998,19737770,,
AFG,1999,20170847,,
AFG,2000,20779957,,
AFG,2001,21606992,,
AFG,2002,22600774,,4055179566
AFG,2003,23680871,,4515558808
AFG,2004,24726689,,5226778809
AFG,2005,25654274,,6209137625
AFG,2006,26433058,3.06,6971285595
AFG,2007,27100542,,9747879532
AFG,2008,27722281,3.02,10109305183
AFG,2009,28394806,,12416161049
AFG,2010,29185511,2.48,15856678596
AFG,2011,30117411,2.48,17805113119
AFG,2012,31161378,2.48,19907317066
AFG,2013,32269592,2.48,20146404996
AFG,2014,33370804,2.77,20497126770
AFG,2015,34413603,2.77,19134211764
AFG,2016,35383028,2.55,18116562465
AFG,2017,36296111,2.55,18753469630
AFG,2018,37171922,2.97,18053228579
AFG,2019,38041757,2.85,18799450743
AFG,2020,,2.85,
AFG,2021,,0.32,
ALB,1960,1608800,,
ALB,1961,1659800,,
ALB,1962,1711319,,
ALB,1963,1762621,,
ALB,1964,1814135,,
ALB,1965,1864791,,
ALB,1966,1914573,,
ALB,1967,1965598,,
ALB,1968,2022272,,
ALB,1969,2081695,,
ALB,1970,2135479,,
ALB,1971,2187853,,
ALB,1972,2243126,,
ALB,1973,2296752,,
ALB,1974,2350124,,
ALB,1975,2404831,,
ALB,1976,2458526,,
ALB,1977,2513546,,
ALB,1978,2566266,,
ALB,1979,2617832,,
ALB,1980,2671997,,
ALB,1981,2726056,,
ALB,1982,2784278,,
ALB,1983,2843960,,
ALB,1984,2904429,,1857338012
ALB,1985,2964762,,1897050133
ALB,1986,3022635,,2097326250
ALB,1987,3083605,,2080796250
ALB,1988,3142336,,2051236250
ALB,1989,3227943,,2253090000
ALB,1990,3286542,,2028553750
ALB,1991,3266790,,1099559028
ALB,1992,3247039,,652174990.8
ALB,1993,3227287,,1185315468
ALB,1994,3207536,,1880951520
ALB,1995,3187784,,2392764853
ALB,1996,3168033,,3199641336
ALB,1997,3148281,,2258513974
ALB,1998,3128530,,2545964541
ALB,1999,3108778,,3212121651
ALB,2000,3089027,,3480355258
ALB,2001,3060173,,3922100794
ALB,2002,3051010,,4348068242
ALB,2003,3039616,,5611496257
ALB,2004,3026939,,7184685782
ALB,2005,3011487,,8052073539
ALB,2006,2992547,5.91,8896072919
ALB,2007,2970017,,10677324144
ALB,2008,2947314,5.91,12881353508
ALB,2009,2927519,,12044208086
ALB,2010,2913021,5.86,11926922829
ALB,2011,2905195,5.81,12890764531
ALB,2012,2900401,5.67,12319830437
ALB,2013,2895092,5.67,12776220507
ALB,2014,2889104,5.67,13228147516
ALB,2015,2880703,5.91,11386850130
ALB,2016,2876101,5.91,11861199831
ALB,2017,2873457,5.98,13019689337
ALB,2018,2866376,5.98,15156432310
ALB,2019,2854191,5.89,15401830754
ALB,2020,,6.08,
ALB,2021,,6.11,
DZA,1960,11057864,,2723593385
DZA,1961,11336336,,2434727330
DZA,1962,11619828,,2001428328
DZA,1963,11912800,,2702960118
DZA,1964,12221675,,2909292864
DZA,1965,12550880,,3136258897
DZA,1966,12902626,,3039834559
DZA,1967,13275020,,3370843066
DZA,1968,13663581,,3852115817
DZA,1969,14061724,,4257218772
DZA,1970,14464992,,4863487493
DZA,1971,14872253,,5077222367
DZA,1972,15285992,,6766766611
DZA,1973,15709831,,8707847924
DZA,1974,16149018,,13210029612
DZA,1975,16607706,,15557934268
DZA,1976,17085799,,17728347375
DZA,1977,17582899,,20971901273
DZA,1978,18102266,,26364491313
DZA,1979,18647801,,33243422158
DZA,1980,19221659,,42346380831
DZA,1981,19824297,,44348672668
DZA,1982,20452901,,45207088716
DZA,1983,21101875,,48801369800
DZA,1984,21763578,,53698278906
DZA,1985,22431507,,57937868670
DZA,1986,23102386,,63692238160
DZA,1987,23774287,,66746396416
DZA,1988,24443472,,59089067187
DZA,1989,25106192,,55634414465
DZA,1990,25758872,,62048562947
DZA,1991,26400468,,45715614560
DZA,1992,27028330,,48003078389
DZA,1993,27635517,,49945599429
DZA,1994,28213777,,42543178042
DZA,1995,28757788,,41764315330
DZA,1996,29266415,,46941582519
DZA,1997,29742980,,48177612042
DZA,1998,30192750,,48187747529
DZA,1999,30623406,,48640653469
DZA,2000,31042238,,54790392746
DZA,2001,31451513,,54744712815
DZA,2002,31855110,,56760355865
DZA,2003,32264159,,67863828413
DZA,2004,32692153,,85332581189
DZA,2005,33149720,,1.03198E+11
DZA,2006,33641007,3.17,1.17027E+11
DZA,2007,34166976,,1.34977E+11
DZA,2008,34730604,3.32,1.71001E+11
DZA,2009,35333882,,1.37211E+11
DZA,2010,35977451,3.44,1.61207E+11
DZA,2011,36661438,3.44,2.00013E+11
DZA,2012,37383899,3.83,2.09059E+11
DZA,2013,38140135,3.83,2.09755E+11
DZA,2014,38923688,3.83,2.1381E+11
DZA,2015,39728020,3.95,1.65979E+11
DZA,2016,40551398,3.56,1.60034E+11
DZA,2017,41389174,3.56,1.70097E+11
DZA,2018,42228415,3.5,1.74911E+11
DZA,2019,43053054,4.01,1.71767E+11
