,Unnamed: 0,dest,orig,1990,1995,2000,2005,2010,2015,2020
0,31570,ARG,AFG,20,20,20,16,9,9,9
1,34622,AUS,AFG,2729,7893,12580,18617,30840,49550,60879
2,25412,AUT,AFG,4748,5357,5966,6614,10055,41725,47602
3,16156,AZE,AFG,254,223,224,213,195,186,176
4,16221,BHR,AFG,215,236,258,392,613,664,860
5,18258,BLR,AFG,140,216,292,281,270,282,277
6,25665,BEL,AFG,93,79,60,2479,4242,12819,24670
7,31751,BOL,AFG,2,1,0,1,1,2,1
8,31977,BRA,AFG,0,0,0,28,58,68,73
9,18365,BGR,AFG,222,223,223,2320,2450,3438,426
10,33489,CAN,AFG,5321,13677,22359,30718,40945,51641,55954
11,30421,CRI,AFG,25,11,3,3,5,4,4
12,16303,CYP,AFG,2,3,4,6,8,7,6
13,18604,CZE,AFG,51,77,103,221,317,418,484
14,20403,DNK,AFG,354,1648,2941,6609,9817,12293,13715
15,32329,ECU,AFG,18,21,23,28,44,112,167
16,9034,EGY,AFG,237,188,154,183,198,135,210
17,20654,EST,AFG,0,0,0,0,13,26,65
18,20944,FIN,AFG,4,144,284,1604,2342,4623,7019
19,25913,FRA,AFG,3346,3455,3563,3409,4470,6510,35348
20,16494,GEO,AFG,0,0,42,39,39,40,40
21,26167,DEU,AFG,33279,51537,69794,75824,80248,82361,250444
22,23495,GRC,AFG,621,472,331,3401,6704,5810,45293
23,11124,GIN,AFG,0,0,0,0,0,3,1
24,18849,HUN,AFG,274,403,532,2385,1821,9411,1816
25,21183,ISL,AFG,1,1,1,4,6,13,108
26,15387,IND,AFG,14159,19916,12794,15792,18085,16851,16094
27,15472,IRN,AFG,3980307,2660518,2232283,2376348,2572558,2621236,2710601
28,16589,IRQ,AFG,241,284,269,313,320,312,314
29,21407,IRL,AFG,29,79,173,173,145,148,168
30,16660,ISR,AFG,2724,2836,2790,2610,2462,2539,2464
31,23804,ITA,AFG,271,236,201,3384,5549,14893,18689
32,16766,JOR,AFG,74,75,76,38,119,49,61
33,16898,KWT,AFG,1334,1068,1219,1317,1794,2669,2896
34,21707,LVA,AFG,20,22,24,24,25,27,46
35,9216,LBY,AFG,677,452,236,260,285,319,340
36,26354,LIE,AFG,0,0,0,0,3,4,6
37,21906,LTU,AFG,40,45,35,31,24,20,41
38,26531,LUX,AFG,0,0,0,0,0,0,433
39,14357,MYS,AFG,32,36,50,271,506,545,2478
40,11450,MLT,AFG,0,0,0,0,385,473,553
41,10098,NAM,AFG,64,61,58,45,43,42,44
42,26810,NLD,AFG,9865,14531,19683,32187,30985,32735,36418
43,34930,NZL,AFG,156,489,714,2051,2314,2540,3827
44,31048,NIC,AFG,27,22,37,54,57,61,62
45,22097,NOR,AFG,253,351,638,5023,8836,13124,17242
46,15654,PAK,AFG,3374973,1291867,2069977,1166210,1990641,1710378,1598223
47,14481,PHL,AFG,25,33,781,632,1201,1220,1297
48,19090,POL,AFG,219,187,160,151,147,139,184
49,17127,QAT,AFG,384,417,388,620,1356,1571,1599
50,19324,ROU,AFG,0,0,0,0,0,0,44
51,19562,RUS,AFG,19103,15576,11486,8328,4999,5095,5090
52,17209,SAU,AFG,166255,170388,175068,216261,280395,385241,481215
53,19759,SVK,AFG,26,125,315,488,139,155,194
54,24684,SVN,AFG,1,2,0,0,5,25,36
55,10230,ZAF,AFG,59,36,30,52,75,96,111
56,24906,ESP,AFG,24,37,455,219,439,458,615
57,15711,LKA,AFG,0,15,31,63,129,131,132
58,22357,SWE,AFG,3368,3997,4287,8255,12697,53678,53306
59,27069,CHE,AFG,1756,2243,2740,3300,3617,11929,15036
60,17338,SYR,AFG,0,92,172,629,2605,1487,1143
61,12757,TJK,AFG,8485,12248,17118,12636,12606,12393,12433
62,14684,THA,AFG,0,9,20,11,1,1,1
63,17392,TUR,AFG,7652,9633,9020,9360,11074,94002,117595
64,12841,TKM,AFG,321,3210,1784,808,345,231,198
65,19988,UKR,AFG,2552,2468,2416,2207,2605,4812,4891
66,17550,ARE,AFG,1630,2088,2668,3208,6878,7515,8191
67,22602,GBR,AFG,2076,8160,14382,36020,38029,45516,51376
68,33857,USA,AFG,28444,37312,46342,51965,59330,74106,142504
69,31571,ARG,ALB,148,144,140,104,66,66,66
70,34623,AUS,ALB,984,1315,1530,2270,2880,3460,3941
71,25413,AUT,ALB,1733,1955,2177,2414,2681,3230,4398
72,25666,BEL,ALB,2157,2143,2067,3277,6129,9380,11937
73,31752,BOL,ALB,6,3,0,1,1,2,1
74,18366,BGR,ALB,103,316,528,785,1028,990,1351
75,33490,CAN,ALB,398,3263,6205,9642,13610,15270,16544
76,30422,CRI,ALB,2,2,3,3,5,4,4
77,23323,HRV,ALB,0,83,157,165,172,173,160
78,28573,CUB,ALB,242,184,226,40,6,1,0
79,16304,CYP,ALB,69,98,126,190,291,266,274
80,18605,CZE,ALB,44,66,88,184,262,309,487
81,20404,DNK,ALB,5,45,84,173,249,347,568
82,32330,ECU,ALB,8,19,30,36,57,71,73
83,9035,EGY,ALB,111,96,88,105,113,77,119
84,20655,EST,ALB,0,0,0,0,7,20,41
85,20945,FIN,ALB,0,17,34,114,174,336,706
86,25914,FRA,ALB,3391,3501,3611,5747,6286,6967,8925
87,16495,GEO,ALB,0,0,11,10,10,10,9
88,26168,DEU,ALB,5211,8303,11394,13162,14532,32767,61063
89,23496,GRC,ALB,63963,230218,400253,423598,463157,436566,446614
90,11125,GIN,ALB,0,0,0,0,0,11,9
91,18850,HUN,ALB,96,113,129,159,189,228,503
92,21184,ISL,ALB,10,15,20,30,39,45,220
93,21408,IRL,ALB,57,158,346,347,291,297,340
94,23805,ITA,ALB,44935,159672,274408,360959,440648,444887,486187
95,21708,LVA,ALB,4,6,8,7,7,9,12
96,9217,LBY,ALB,315,266,223,245,268,300,320
97,26355,LIE,ALB,0,0,0,0,0,0,2
98,21907,LTU,ALB,0,0,0,0,0,4,28
99,26532,LUX,ALB,290,275,264,229,197,300,1058
100,11451,MLT,ALB,0,0,0,0,1028,1264,1482
101,24046,MLT,ALB,16,19,48,76,63,106,229
102,24178,MNE,ALB,0,0,0,0,2015,2754,2763
103,26811,NLD,ALB,181,267,362,662,894,1324,2402
104,24256,MKD,ALB,45001,58009,69367,69782,70230,67799,68113
105,22098,NOR,ALB,21,81,149,274,435,969,2174
106,14482,PHL,ALB,421,566,582,471,114,116,122
107,19091,POL,ALB,82,70,60,94,131,124,165
108,24324,PRT,ALB,11,24,40,45,44,50,55
109,19325,ROU,ALB,591,632,675,690,790,3,823
110,19563,RUS,ALB,1026,988,915,578,230,234,232
111,24502,SMR,ALB,27,28,31,30,30,37,39
112,24559,SRB,ALB,57,364,495,489,478,467,475
113,19760,SVK,ALB,6,29,60,68,76,99,133
114,24685,SVN,ALB,15,51,76,49,96,148,146
115,10231,ZAF,ALB,78,63,69,90,131,168,195
116,24907,ESP,ALB,162,359,712,1094,1807,1938,2615
117,22358,SWE,ALB,293,348,374,684,1134,2023,5724
118,27070,CHE,ALB,1333,1316,1304,1492,1721,2416,4323
119,17393,TUR,ALB,801,1939,3086,3192,3292,3261,4554
120,22603,GBR,ALB,156,1181,2227,7335,7743,9267,10458
121,33858,USA,ALB,5627,22440,39644,54825,72085,91865,97252
122,32960,VEN,ALB,17,16,16,16,18,19,17
123,31572,ARG,DZA,229,224,219,163,104,104,103
124,34624,AUS,DZA,665,950,1170,1330,1380,1600,1776
125,25414,AUT,DZA,711,802,893,990,1100,1340,1581
126,18259,BLR,DZA,27,41,55,53,50,53,51
127,25667,BEL,DZA,26077,24149,21519,18450,22372,25666,27491
128,31753,BOL,DZA,4,7,10,7,3,4,3
129,31978,BRA,DZA,0,0,0,91,183,215,232
130,18367,BGR,DZA,32,105,178,266,350,347,460
131,33491,CAN,DZA,3743,12014,20571,34754,51080,64223,69587
132,30423,CRI,DZA,44,21,9,7,13,12,14
133,23324,HRV,DZA,0,0,0,28,56,56,50
134,28574,CUB,DZA,103,78,54,35,22,13,8
135,16305,CYP,DZA,9,13,16,25,38,34,34
136,18606,CZE,DZA,80,121,161,408,616,686,805
137,20405,DNK,DZA,526,717,907,920,892,913,1004
138,32331,ECU,DZA,16,18,20,25,38,48,50
139,9036,EGY,DZA,543,573,648,771,830,569,889
140,20656,EST,DZA,0,0,0,0,14,24,32
141,20946,FIN,DZA,233,305,377,539,635,781,1014
142,25915,FRA,DZA,788914,814417,839920,1337210,1343555,1489151,1637211
144,36690,PYF,DZA,605,664,710,743,717,681,681
145,8544,GAB,DZA,34,45,57,62,72,100,108
146,16496,GEO,DZA,0,0,18,17,17,17,16
147,26169,DEU,DZA,8493,12366,16238,17681,18744,19237,25819
148,11032,GHA,DZA,7,7,8,11,11,13,13
149,23497,GRC,DZA,203,258,317,722,1167,1099,407
151,11126,GIN,DZA,0,0,0,0,0,7044,6766
152,18851,HUN,DZA,263,365,467,575,686,684,929
153,21185,ISL,DZA,10,17,23,24,24,40,68
154,21409,IRL,DZA,113,313,686,688,576,588,673
155,16661,ISR,DZA,19544,25514,30056,36950,44292,45680,44358
156,23806,ITA,DZA,6171,10991,15810,19139,23713,21908,22363
157,16767,JOR,DZA,222,320,417,313,646,267,345
158,21709,LVA,DZA,6,9,12,14,17,15,18
159,9218,LBY,DZA,1551,2079,2642,2911,3195,3577,3830
160,26356,LIE,DZA,0,0,0,0,4,6,6
161,21908,LTU,DZA,0,0,0,0,0,8,11
162,26533,LUX,DZA,98,92,88,76,66,100,1113
163,11452,MLT,DZA,380,507,554,2270,385,473,553
164,24047,MLT,DZA,21,25,31,38,43,72,155
166,11555,MRT,DZA,1450,1549,1601,1617,1133,1634,1788
167,30909,MEX,DZA,47,87,131,109,99,102,110
168,9350,MAR,DZA,9188,8429,8877,9412,10231,13194,14497
169,10099,NAM,DZA,716,684,637,503,484,473,505
170,26812,NLD,DZA,1764,2694,3717,4026,3893,3855,4219
171,35340,NCL,DZA,513,594,676,719,763,586,621
172,31049,NIC,DZA,50,40,68,99,105,113,117
173,11640,NER,DZA,293,364,438,447,455,460,587
174,22099,NOR,DZA,448,558,731,912,1113,1210,1283
175,32715,PER,DZA,10,11,14,17,18,19,33
176,14483,PHL,DZA,795,1069,541,437,454,462,490
177,19092,POL,DZA,643,549,470,528,604,574,766
178,24325,PRT,DZA,55,118,187,212,203,230,261
179,19326,ROU,DZA,3,5,7,8,12,130,554
180,19564,RUS,DZA,1303,1189,1033,907,763,778,776
181,11811,SEN,DZA,3464,3622,3275,3523,3940,4204,4338
182,24560,SRB,DZA,6,41,56,56,55,53,52
183,19761,SVK,DZA,8,32,66,75,84,105,125
